id	label	x	y
sample1	Group_1	2067	526
sample1	Group_1	1592	534
sample1	Group_5	1938	531
sample1	Group_5	1995	530
sample1	Group_5	2180	531
sample1	Group_2	2219	532
sample1	Group_9	2021	540
sample1	Group_9	674	536
sample1	Group_9	1358	542
sample1	Group_6	1881	538
sample1	Group_1	1661	540
sample1	Group_5	2078	539
sample1	Group_9	2288	539
sample1	Group_5	912	541
sample1	Group_6	1617	541
sample1	Group_1	619	540
sample1	Group_5	932	542
sample1	Group_6	1844	541
sample1	Group_5	1059	545
sample1	Group_1	1971	543
sample1	Group_5	2360	547
sample1	Group_1	1205	545
sample1	Group_9	1343	545
sample1	Group_9	1227	551
sample1	Group_1	1438	550
sample1	Group_5	1492	549
sample1	Group_9	1001	551
sample1	Group_9	2126	553
sample1	Group_7	1964	552
sample1	Group_6	1791	554
sample1	Group_7	1268	556
sample1	Group_9	2037	560
sample1	Group_5	1976	562
sample1	Group_6	926	555
sample1	Group_9	1068	560
sample1	Group_6	1848	558
sample1	Group_9	2243	561
sample1	Group_1	877	560
sample1	Group_9	1995	560
sample1	Group_9	839	562
sample1	Group_5	2357	562
sample1	Group_5	907	562
sample1	Group_5	637	564
sample1	Group_8	726	565
sample1	Group_8	1542	571
sample1	Group_9	1014	569
sample1	Group_6	1399	571
sample1	Group_1	1557	572
sample1	Group_1	1577	568
sample1	Group_9	2374	572
sample1	Group_6	1651	569
sample1	Group_9	2141	571
sample1	Group_5	2026	570
sample1	Group_1	664	572
sample1	Group_1	1630	571
sample1	Group_5	2210	572
sample1	Group_8	1724	576
sample1	Group_5	1811	574
sample1	Group_1	2225	576
sample1	Group_1	590	576
sample1	Group_1	904	577
sample1	Group_6	1738	576
sample1	Group_7	1992	581
sample1	Group_9	857	577
sample1	Group_9	2050	580
sample1	Group_6	1556	582
sample1	Group_7	1667	581
sample1	Group_9	1344	584
sample1	Group_1	1539	586
sample1	Group_1	1424	587
sample1	Group_9	1236	585
sample1	Group_9	1786	586
sample1	Group_5	1595	587
sample1	Group_5	1805	588
sample1	Group_6	1868	588
sample1	Group_9	1008	589
sample1	Group_5	1615	590
sample1	Group_1	1660	596
sample1	Group_5	1820	591
sample1	Group_1	1559	596
sample1	Group_1	727	596
sample1	Group_9	1717	596
sample1	Group_5	1049	596
sample1	Group_9	1248	599
sample1	Group_9	1390	602
sample1	Group_9	998	598
sample1	Group_9	2017	600
sample1	Group_6	1446	603
sample1	Group_6	1778	606
sample1	Group_9	969	605
sample1	Group_6	1316	604
sample1	Group_5	1705	604
sample1	Group_5	1848	603
sample1	Group_9	1938	607
sample1	Group_1	1765	608
sample1	Group_1	2269	615
sample1	Group_5	2214	615
sample1	Group_9	866	614
sample1	Group_5	1545	612
sample1	Group_5	1559	614
sample1	Group_9	1242	616
sample1	Group_6	1621	613
sample1	Group_5	1771	614
sample1	Group_5	810	617
sample1	Group_9	2180	614
sample1	Group_5	1842	618
sample1	Group_5	653	621
sample1	Group_6	1914	620
sample1	Group_5	1939	625
sample1	Group_9	688	621
sample1	Group_1	1260	624
sample1	Group_6	1526	621
sample1	Group_5	1400	624
sample1	Group_7	1321	625
sample1	Group_1	2091	630
sample1	Group_9	1350	627
sample1	Group_5	2322	628
sample1	Group_5	1157	631
sample1	Group_5	1379	631
sample1	Group_1	1690	629
sample1	Group_5	1133	631
sample1	Group_5	2256	632
sample1	Group_1	1542	637
sample1	Group_1	1526	637
sample1	Group_5	1960	636
sample1	Group_5	2359	638
sample1	Group_9	1605	645
sample1	Group_5	2282	640
sample1	Group_9	955	641
sample1	Group_9	2042	647
sample1	Group_5	1352	642
sample1	Group_9	2261	642
sample1	Group_5	1380	643
sample1	Group_9	910	645
sample1	Group_5	1275	644
sample1	Group_5	1206	649
sample1	Group_5	938	649
sample1	Group_1	1339	652
sample1	Group_1	1572	657
sample1	Group_1	1504	650
sample1	Group_5	891	653
sample1	Group_9	1221	654
sample1	Group_1	1493	653
sample1	Group_2	1646	655
sample1	Group_9	1589	653
sample1	Group_5	1267	657
sample1	Group_9	1432	662
sample1	Group_3	1415	666
sample1	Group_1	2382	666
sample1	Group_9	1835	666
sample1	Group_9	2347	668
sample1	Group_1	1216	668
sample1	Group_1	1642	669
sample1	Group_1	2192	669
sample1	Group_9	1551	671
sample1	Group_5	2245	674
sample1	Group_9	2461	679
sample1	Group_9	1451	682
sample1	Group_1	2276	679
sample1	Group_6	1789	681
sample1	Group_5	810	680
sample1	Group_7	2438	682
sample1	Group_5	1229	681
sample1	Group_6	1477	681
sample1	Group_8	2262	681
sample1	Group_5	1344	683
sample1	Group_5	754	682
sample1	Group_9	917	683
sample1	Group_9	1102	686
sample1	Group_5	1847	687
sample1	Group_5	1871	685
sample1	Group_5	1893	687
sample1	Group_5	1271	687
sample1	Group_6	1591	694
sample1	Group_5	1164	691
sample1	Group_6	1527	689
sample1	Group_7	1796	695
sample1	Group_6	1551	695
sample1	Group_7	1682	694
sample1	Group_5	1815	699
sample1	Group_5	1741	698
sample1	Group_6	1428	698
sample1	Group_9	2171	699
sample1	Group_5	1175	697
sample1	Group_1	1479	704
sample1	Group_9	871	701
sample1	Group_1	1112	698
sample1	Group_5	1571	700
sample1	Group_1	2070	700
sample1	Group_6	1661	705
